ID	type	name	pathway	scaffold	function	uniprot	ncbiprotein	pubmed	doi	note
TP0063	OSC	RcLUS	triterpenoid	lupeol	lupeol synthase	Q2XPU7		16445885		
TP0064	OSC	TRW	triterpenoid	lupeol	lupeol synthase	Q9SLW1		10542078		
TP0065	OSC	LUP1	triterpenoid	lupeol	lupeol synthase	Q9C5M3		9883589		
TP0066	OSC	CqOSC10	triterpenoid	lupeol	lupeol synthase		XP_021715868.1	37904576		
TP0067	OSC	LUP2-G	triterpenoid	lupeol	lupeol synthase	A0A0U2JZA6		26333142		
TP0068	OSC	LUP2-P	triterpenoid	lupeol	lupeol synthase	A0A0U2SMN5		26333142		
TP0069	OSC	MdOSC5	triterpenoid	lupeol	lupeol synthase	A0A142LT04		27214242		
TP0070	OSC	LsOSC1	triterpenoid	lupeol	lupeol synthase	A0A3S9W0K7		30472753		
TP0071	OSC	MRN1|PEN5	triterpenoid	marneral	marneral synthase	Q9FJV8		16425307		
TP0072	OSC	THAS1|PEN4	triterpenoid	thalianol	thalianol synthase	Q9FI37		15125655		
TP0073	OSC	SHS1	triterpenoid	shionone	shionone synthase	F8WQD0		21377465		
TP0074	OSC	KdGLS	triterpenoid	glutinol	glutinol synthase	E2IUA7		20610397		
TP0075	OSC	KdFRS	triterpenoid	friedelin	friedelin synthase	E2IUA8		20610397		
TP0076	OSC	KdTAS	triterpenoid	taraxerol	taraxerol synthase	E2IUA6		20610397		
TP0077	OSC	LcIMS1	triterpenoid	isomultiflorenol	isomultiflorenol synthase	Q948R6		11733028		
TP0078	OSC	OsIAS	triterpenoid	isoarborinol	isoarborinol synthase			22150097		manual translation of insdc:AK067451.1
TP0079	OSC	PNA	triterpenoid	dammarenediol-II	dammarenediol-II synthase	Q08IT1		16962103		
TP0080	OSC	StrBOS	triterpenoid	baccharis oxide	baccharis oxide synthase	B9X0J1		18850716		
TP0081	OSC	BARS1|PEN2	triterpenoid	baruol	baruol synthase	O23390		17705488		
TP0082	OSC	CAMS1|LUP3	triterpenoid	camelliol C	camelliol C synthase	P0C8Y0		17985917		
TP0083	OSC	RsM1	triterpenoid	germanicol	germanicol synthase	A8C980		17803686		
TP0084	OSC	MdOSC4	triterpenoid	germanicol	germanicol synthase	A0A142LT03		27214242		
TP0085	OSC	RsM2	triterpenoid	taraxerol	taraxerol synthase	A8C981		17803686		
TP0086	OSC	LUP5	triterpenoid	tirucalla-7,24-dien-3β-ol	tirucalla-7,24-dien-3β-ol (tirucalladienol) synthase	Q9FZI2			10.1351/pac200375020369	
TP0087	OSC	PEN3	triterpenoid	tirucalla-7,24-dien-3β-ol	tirucalla-7,24-dien-3β-ol (tirucalladienol) synthase	Q9LVY2		19445469		
TP0088	OSC	MaOSC1	triterpenoid	tirucalla-7,24-dien-3β-ol	tirucalla-7,24-dien-3β-ol (tirucalladienol) synthase	A0A5B8NBE6		31371503		
TP0089	OSC	CsOSC1	triterpenoid	tirucalla-7,24-dien-3β-ol	tirucalla-7,24-dien-3β-ol (tirucalladienol) synthase		XP_006468116.1	31371503		
TP0090	OSC	AiOSC1	triterpenoid	tirucalla-7,24-dien-3β-ol	tirucalla-7,24-dien-3β-ol (tirucalladienol) synthase	A0A5B8NBN0		31371503		
TP0091	OSC	AaOSC2	triterpenoid	tirucalla-7,24-dien-3β-ol	tirucalla-7,24-dien-3β-ol (tirucalladienol) synthase		UTU07506.1	36082289		
TP0092	OSC	PEN1	triterpenoid	arabidiol	arabidiol synthase	Q9FR95		16774269,17474751		
TP0093	OSC	CqOSC2|CqQS	triterpenoid	(−)-quinoxide A	(−)-quinoxide A synthase		XP_021761950.1	37904576		
TP0094	OSC	PEN6	triterpenoid	β-seco-amyrin|α-seco-amyrin	seco-amyrin synthase (β-seco-amyrin, α-seco-amyrin)	Q9SYN1		17263431		
TP0095	OSC	PSM	triterpenoid	α-amyrin|β-amyrin	mixed amyrin synthase (α-amyrin, β-amyrin)	Q9LRH7		10848960		
TP0096	OSC	LUP2|YUP8H12R.43	triterpenoid	taraxasterol|β-amyrin	multifunctional triterpene synthase (taraxasterol, β-amyrin, etc.)	Q8RWT0			10.1016/S0040-4039(00)01347-2	
TP0097	OSC	CSOSC2	triterpenoid	lupeol|germanicol|β-amyrin	multifunctional triterpene synthase (lupeol, germanicol, β-amyrin)	Q8VWY3		11995928		
TP0098	OSC	KcMS	triterpenoid	lupeol|β-amyrin|α-amyrin	multifunctional triterpene synthase (lupeol, β-amyrin, α-amyrin)	Q05K37		17078982		
TP0099	OSC	AMY2	triterpenoid	lupeol|β-amyrin	multifunctional triterpene synthase (lupeol, β-amyrin)	Q84PE1		12683345		production of β-amyrin, dihydrolupeol in Nicotiana benthamiana (pubmed:23909862)
TP0100	P450	CYP51G1	steroid		14α-demethylase	P93846		9076987		
TP0101	P450	CYP51G1	steroid		14α-demethylase	Q9SAA9		11437378		
TP0102	P450	CYP51H10|Sad2	triterpenoid	β-amyrin	12,13β-epoxidase|16β-hydroxylase	A1BQV1		23940321		
TP0103	P450	CYP51H14|BdHIH	triterpenoid	isoarborinol	7β-hydroxylase|28-hydroxylase		UPL51493.1	35412884		
TP0104	P450	CYP51H15|BdIAH	triterpenoid	isoarborinol	19α-hydroxylase	I1I3G9		35412884		
TP0105	P450	CYP51H16|BdTIH	triterpenoid	isoarborinol	1β-hydroxylase	I1I3H0		35412884		
TP0106	P450	CYP51H35|TaIAH	triterpenoid	isoarborinol	19α-hydroxylase		UPL51485.1	35412884		
TP0107	P450	CYP51H37|TaHIO	triterpenoid	isoarborinol	25-hydroxylase	A0A3B6MJD7		35412884		
TP0108	P450	CYP71A16|MRNO|MRO	triterpenoid	marneral	23-hydroxylase	Q9FH66		23570231		
TP0109	P450	CYP71BQ4	triterpenoid	tirucalla-7,24-dien-3β-ol	21-oxidase		XP_006469495.1	31371503		
TP0110	P450	CYP71BQ5	triterpenoid	tirucalla-7,24-dien-3β-ol	21-oxidase	A0A5B8NEF2		31371503		
TP0111	P450	CYP71BQ17	triterpenoid	tirucalla-7,24-dien-3β-ol	21-oxidase		UTU07509.1	36082289		
TP0112	P450	CYP71CD1	triterpenoid	tirucalla-7,24-dien-3β-ol	23R-hydroxylase|24,25-epoxidase	A0A067GFT7		31371503		
TP0113	P450	CYP71CD2	triterpenoid	tirucalla-7,24-dien-3β-ol	23R-hydroxylase|24,25-epoxidase	A0A5B8NBK9		31371503		
TP0114	P450	CYP71CD4	triterpenoid	tirucalla-7,24-dien-3β-ol	23R-hydroxylase|24,25-epoxidase		UTU07508.1	36082289		
TP0115	P450	CYP71D353	triterpenoid	dihydrolupeol	20-hydroxylase|28-oxidase	A0A023IZ17		23909862		
TP0116	P450	CYP71D443	steroid		22R-hydroxylase	A0A0M4U0E0		27017303		
TP0117	P450	CYP72A61v2	triterpenoid	β-amyrin	22β-hydroxylase	H1A980		23378447		
TP0118	P450	CYP72A62v2	triterpenoid	β-amyrin	21-hydroxylase|29-oxidase	H1A982		31850023		
TP0119	P450	CYP72A63	triterpenoid	β-amyrin	30-oxidase	H1A981		22128119		
TP0120	P450	CYP72A64v2	triterpenoid	β-amyrin	29-oxidase	A0A5P8TXK3		31850023		
TP0121	P450	CYP72A65v2	triterpenoid	β-amyrin	21-hydroxylase|29-hydroxylase	H1A983		31850023		
TP0122	P450	CYP72A66v2	triterpenoid	β-amyrin	22β-hydroxylase|29-hydroxylase|30-oxidase	A0A5P8TY60		31850023		
TP0123	P450	CYP72A67	triterpenoid	β-amyrin	2β-hydroxylase	Q2MJ21		26079384		
TP0124	P450	CYP72A68	triterpenoid	β-amyrin	23-oxidase	Q2MJ19		31144047		
TP0125	P450	CYP72A68v2	triterpenoid	β-amyrin	23-oxidase	H1A985		23378447		
TP0126	P450	CYP72A69|Sg-5	triterpenoid	β-amyrin	21β-hydroxylase	I1MIY0		27775214		
TP0127	P450	GmaxCYP72A141	triterpenoid	β-amyrin	29-hydroxylase	A0A5P8TY68		31850023		
TP0128	P450	CYP72A154	triterpenoid	β-amyrin	21-hydroxylase|29-hydroxylase|30-oxidase	H1A988		22128119,31850023		
TP0129	P450	GgCYP72A154	triterpenoid	β-amyrin	21-hydroxylase|29-hydroxylase|30-hydroxylase	A0A5P8TXJ1		31850023		
TP0130	P450	GpCYP72A154	triterpenoid	β-amyrin	21-hydroxylase|29-hydroxylase|30-hydroxylase	A0A5P8TXI9		31850023		
TP0131	P450	CYP72A302	triterpenoid	β-amyrin	21-hydroxylase|29-hydroxylase	V7AM57		31850023		
TP0132	P450	CYP72A397	triterpenoid	β-amyrin	23-hydroxylase	A0A0S2IHL2		29186583		
TP0133	P450	CYP72A475|Sad6	triterpenoid	β-amyrin	21β-hydroxylase		AYG99326.1	30294977		
TP0134	P450	CYP72A552	triterpenoid	β-amyrin	23-oxidase	A0A481NR20		30661245		
TP0135	P450	CYP72A557	triterpenoid	β-amyrin	21-hydroxylase|29-hydroxylase	A0A5P8TXK0		31850023		
TP0136	P450	CYP72A558	triterpenoid	β-amyrin	21-hydroxylase|29-hydroxylase	A0A5P8TXX1		31850023		
TP0137	P450	CYP72A559	triterpenoid	β-amyrin	21-hydroxylase	A0A5P8TXY6		31850023		
TP0138	P450	CYP72A560	triterpenoid	β-amyrin	21-hydroxylase	A0A5P8TXP5		31850023		
TP0139	P450	CYP72A566	triterpenoid	β-amyrin	22β-hydroxylase	A0A2Z6BDG2		29648666		
TP0140	P450	CYP72A613	steroid		26-hydroxylase	A0A517FNC9		31324795		
TP0141	P450	CYP72A616	steroid		26-hydroxylase	A0A517FNC4		31324795		
TP0142	P450	CYP72A654|SOAP4	triterpenoid	β-amyrin	23-oxidase	A0A9R0JSM8		32424305		
TP0143	P450	CYP72A655|SOAP3	triterpenoid	β-amyrin	2β-hydroxylase		KNA16860.1	32424305		
TP0144	P450	CYP72A694	triterpenoid	β-amyrin	29-oxidase	A0A5P8TXJ3		31850023		
TP0145	P450	CYP72A697	triterpenoid	β-amyrin	29-hydroxylase	A0A5P8TXS9		31850023		
TP0146	P450	CYP72A699	triterpenoid	β-amyrin	21-hydroxylase|29-oxidase	A0A5P8TXT7		31850023		
TP0147	P450	CYP81Q58|Csa6G088160	triterpenoid	cucurbitadienol	25-hydroxylase	A0A097IYP1		25430763		
TP0148	P450	CYP81Q59|Melo3C022375|Cm180	triterpenoid	cucurbitadienol	2β-hydroxylase	A0A1S3CBC7		27892922		
TP0149	P450	CYP81AM1	triterpenoid	friedelin	24-oxidase		WEW62272.1	37365337		
TP0150	P450	CYP81AQ19	triterpenoid	cucurbitadienol	23α-hydroxylase	A0A5K7U6A3		31656227		
TP0151	P450	CYP82J17	steroid		26-hydroxylase	A0A517FND1		31324795		
TP0152	P450	CYP82AS1	triterpenoid	β-amyrin	22α-hydroxylase	A0A8T8L8F7		38013483		
TP0153	P450	CYP85A1|BR6ox1	steroid		6-oxidase	Q9FMA5		11402205		
TP0154	P450	CYP85A1|DWARF	steroid		6-oxidase	Q43147		9990098		
TP0155	P450	CYP85A2|BR6ox2	steroid		6-oxidase	Q940V4		12529536,15710611		
TP0156	P450	CYP85A3	steroid		6-oxidase	Q50LE0		15710611		
TP0157	P450	CYP87D16	triterpenoid	β-amyrin	16α-hydroxylase	A0A0B4KZX8		25578277		
TP0158	P450	CYP87D18	triterpenoid	cucurbitadienol	11-oxidase	K7NBR2		26903528		
TP0159	P450	CYP87D20|Csa1G044890|Cs890	triterpenoid	cucurbitadienol	11-oxidase|20β-hydroxylase	A0A0A0LQP6		27892922		
TP0160	P450	CYP87D20|Melo3C002192|Cm890	triterpenoid	cucurbitadienol	11-oxidase|20β-hydroxylase	A0A1S3AUF5		27892922		
TP0161	P450	CYP88A13	triterpenoid	β-amyrin	16α-hydroxylase	G7JZW6		32303662		
TP0162	P450	CYP88A37	triterpenoid	tirucalla-7,24-dien-3β-ol	1α-hydroxylase		WCJ12485.1	36701471		
TP0163	P450	CYP88A51	triterpenoid	tirucalla-7,24-dien-3β-ol	7,8-epoxidase		WCJ12492.1	36701471		
TP0164	P450	CYP88A108	triterpenoid	tirucalla-7,24-dien-3β-ol	7,8-epoxidase		WBW48720.1	36701471		
TP0165	P450	CYP88A164	triterpenoid	tirucalla-7,24-dien-3β-ol	1α-hydroxylase		WBW48724.1	36701471		
TP0166	P450	CYP88D6	triterpenoid	β-amyrin	11-oxidase	B5BSX1		18779566		
TP0167	P450	CYP88L2|Csa3G903540	triterpenoid	cucurbitadienol	19-hydroxylase	A0A0A0LHC2		25430763		
TP0168	P450	CYP88L7	triterpenoid	cucurbitadienol	7-hydroxylase|19-oxidase	A0A5K7U6A4		31656227		
TP0169	P450	CYP88L8	triterpenoid	cucurbitadienol	7β-hydroxylase	A0A5K7U6M8		31656227		
TP0170	P450	CYP90A1|CPD	steroid		3-oxidase	Q42569		22822057		
TP0171	P450	CYP90B1|DWF4	steroid		22S-hydroxylase	O64989		16460510		
TP0172	P450	CYP90B2|OsDWARF4	steroid		22S-hydroxylase	Q5CCK3		16369540		
TP0173	P450	CYP90B3	steroid		22S-hydroxylase	A0ZS63		16960392		
TP0174	P450	CYP90B27v1	steroid		22R-hydroxylase	A0A0F6PML0		25939370		
TP0175	P450	PpCYP90B27	steroid		22R-hydroxylase	A0A5A4DV62		30268044		
TP0176	P450	CYP90B50	steroid		16S-hydroxylase|22S-hydroxylase|22R-hydroxylase	A0A517FND3		31324795,34816537		
TP0177	P450	CYP90B51	steroid		22S-hydroxylase|22R-hydroxylase	A0A517FNC6		34816537,31324795		
TP0178	P450	CYP90B52	steroid		22S-hydroxylase	A0A517FNB9		31324795		
TP0179	P450	CYP90B71	steroid		22R-hydroxylase		QPZ88854.1	34816537		
TP0180	P450	CYP90C1|ROT3	steroid		23R-hydroxylase	Q9M066		17138693		
TP0181	P450	CYP90D1	steroid		23R-hydroxylase	Q94IA6		17138693		
TP0182	P450	CYP90D2|D2	steroid		23R-hydroxylase	Q94IW5		22846333		
TP0183	P450	CYP90D3	steroid		23R-hydroxylase	Q6L4R0		22846333		
TP0184	P450	CYP90G1v3	steroid		22-oxidase	A0A0F6PMN4		25939370		
TP0185	P450	CYP90G4	steroid		16S-hydroxylase|22-oxidase	A0A517FNC5		34816537,31324795		
TP0186	P450	CYP90G6	steroid		16S-hydroxylase|22-oxidase	A0A9D5C7U6		34816537		
TP0187	P450	CYP93A220|IaAO5	triterpenoid	β-amyrin	24-oxidase	A0A976SHZ3		35422828		
TP0188	P450	CYP93E1	triterpenoid	β-amyrin	24-oxidase	Q9XHC6		16478469,25453910		
TP0189	P450	CYP93E2	triterpenoid	β-amyrin	24-hydroxylase	Q2MJ11		23378447		
TP0190	P450	CYP93E3	triterpenoid	β-amyrin	24-hydroxylase	B5BT05		18779566		
TP0191	P450	CYP93E4	triterpenoid	β-amyrin	24-oxidase	A0A088LHH3		25453910		
TP0192	P450	CYP93E5	triterpenoid	β-amyrin	24-oxidase	A0A088LUP1		25453910		
TP0193	P450	CYP93E6	triterpenoid	β-amyrin	24-oxidase	A0A088LIS6		25453910		
TP0194	P450	CYP93E7	triterpenoid	β-amyrin	24-hydroxylase	A0A088LHV2		25453910		
TP0195	P450	CYP93E8	triterpenoid	β-amyrin	24-oxidase	A0A088LM09		25453910		
TP0196	P450	CYP93E9	triterpenoid	β-amyrin	24-oxidase	A0A088LHH7		25453910		
TP0197	P450	LjCYP93E1	triterpenoid	β-amyrin	24-hydroxylase		BBF88366.1	31418782		
TP0198	P450	CYP94D108	steroid		26-hydroxylase	A0A517FNC7		31324795		
TP0199	P450	CYP94D109	steroid		26-hydroxylase	A0A517FND0		31324795		
TP0200	P450	CYP94D143	steroid		26-hydroxylase		QPZ88857.1	34816537		
TP0201	P450	CYP94N1v2	steroid		26-oxidase	A0A0F6PMN1		25939370		
TP0202	P450	CYP94N8	steroid		26-hydroxylase		QPZ88856.1	34816537		
TP0203	P450	CYP705A1	triterpenoid	arabidiol	C-C cleavage at C14-C15 bond	Q0WQ07		23570231,25724638		
TP0204	P450	CYP705A5|THAO	triterpenoid	thalianol	16-oxidase	Q9FI39		31073042		
TP0205	P450	CYP708A15v2	triterpenoid	cucurbitadienol	22-hydroxylase		UAK14950.1	34264303		
TP0206	P450	CYP708A16	triterpenoid	cucurbitadienol	16β-hydroxylase		UAK14955.1	34264303		
TP0207	P450	CYP708A2|THAH	triterpenoid	thalianol	7β-hydroxylase	Q8L7D5		31073042		
TP0208	P450	CYP710A1	steroid		22-desaturase	O64697		16531502		
TP0209	P450	CYP710A2	steroid		22-desaturase	O64698		16531502		
TP0210	P450	CYP710A11	steroid		22-desaturase	Q1T7C2		16531502		
TP0211	P450	CYP712K1	triterpenoid	friedelin|β-amyrin	29-oxidase	A0A6C0G9Q9		31992268,38013483		
TP0212	P450	CYP712K2	triterpenoid	friedelin|β-amyrin	29-oxidase	A0A6C0G9N0		31992268,38013483		
TP0213	P450	CYP712K3	triterpenoid	friedelin|β-amyrin	29-oxidase	A0A6C0G9N1		31992268,38013483		
TP0214	P450	CYP712K4	triterpenoid	friedelin	29-oxidase	A0A5B8H9L8		31350564		
TP0215	P450	CYP714E19	triterpenoid	α-amyrin|β-amyrin	23-oxidase			29579306		manual translation of insdc:KT004520.1
TP0216	P450	CYP714E88|IaAO4	triterpenoid	α-amyrin|β-amyrin	23-oxidase	A0A976SHZ5		35422828		
TP0217	P450	CYP716A1	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	Q9LVY7		26801524		
TP0218	P450	CYP716A2	triterpenoid	α-amyrin|β-amyrin|lupeol	16-hydroxylase|22α-hydroxylase|28-hydroxylase	A0A140JWM8		26801524		
TP0219	P450	CYP716A12	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	Q2MJ20		21821776,22039103		
TP0220	P450	CYP716A14v2	triterpenoid	α-amyrin|β-amyrin|δ-amyrin	3-oxidase	A0A0B4L1W4		25576188		
TP0221	P450	CYP716A15	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	F6H9N6		22039103		
TP0222	P450	CYP716A17	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	A5BFI4		22039103		
TP0223	P450	CYP716A44	triterpenoid	α-amyrin|β-amyrin	28-oxidase	A0A3Q7HBJ5		28194155		
TP0224	P450	CYP716A46	triterpenoid	α-amyrin|β-amyrin	28-oxidase	K4CEE8		28194155		
TP0225	P450	CYP716A48	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	A0A090AQE0		31819715		
TP0226	P450	CYP716A49	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	A0A090AV67		31819715		
TP0227	P450	CYP716A50	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	A0A090BX92		31819715		
TP0228	P450	CYP716A51	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	A0A090ATL9		31418782		
TP0229	P450	CYP716A52v2	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	I7C6E8		24092881,31819715		
TP0230	P450	CYP716A75	triterpenoid	β-amyrin	28-oxidase	A0A0B4L1W8		25578277		
TP0231	P450	CYP716A78	triterpenoid	β-amyrin	28-oxidase	A0A1B2AS12		27457995		
TP0232	P450	CYP716A79	triterpenoid	β-amyrin	28-oxidase	A0A1B2AS18		27457995		
TP0233	P450	CYP716A80	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	A0A0U2TQ31		26333142		
TP0234	P450	CYP716A81	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	A0A0U2U8U5		26333142		
TP0235	P450	CYP716A83	triterpenoid	α-amyrin|β-amyrin	28-oxidase	A0A1I9Q5Y4		28165039		
TP0236	P450	CYP716A86	triterpenoid	β-amyrin	28-oxidase	A0A1I9Q5Y3		28165039		
TP0237	P450	CYP716A94	triterpenoid	β-amyrin	28-oxidase	A0A0S2II38		29186583		
TP0238	P450	CYP716A110	triterpenoid	β-amyrin	28-oxidase	A0A1I9Q5Z9		28165039		
TP0239	P450	CYP716A111	triterpenoid	β-amyrin	16β-hydroxylase	A0A1L3HEE9		28165039		
TP0240	P450	CYP716A113v1	steroid		hydroxylase	A0A1I9Q601		28165039		
TP0241	P450	CYP716A140	triterpenoid	β-amyrin	28-oxidase	A0A1I9Q5Y8		28165039		
TP0242	P450	CYP716A140v2	triterpenoid	β-amyrin	28-oxidase	A0A1V1FHP8		28371833		
TP0243	P450	CYP716A141	triterpenoid	β-amyrin	16β-hydroxylase	A0A1I9Q5Z0		28165039		
TP0244	P450	CYP716A154|CrAO	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	I1TEM3		22837051		renamed from CYP716AL1 (pubmed:28194155)
TP0245	P450	CYP716A155|RoCYP01	triterpenoid	α-amyrin|β-amyrin|lupeol	28-oxidase	A0A6G7GG58		31309269		
TP0246	P450	CYP716A175	triterpenoid	α-amyrin|β-amyrin|lupeol|germanicol	28-oxidase	A0A498ICX4		27214242		
TP0247	P450	CYP716A179	triterpenoid	α-amyrin|β-amyrin|lupeol	22α-hydroxylase|28-oxidase	A0A1L7NXK5		28008473		
TP0248	P450	CYP716A180|BPLO|ATH1	triterpenoid	lupeol	28-oxidase	W8QDR9		27534392		
TP0249	P450	CYP716A210|IaAO1	triterpenoid	α-amyrin	28-oxidase	A0A6B9MJR5		32508864		
TP0250	P450	CYP716A224|Qs0259300	triterpenoid	β-amyrin	28-oxidase		WEU75100.1	36952412		
